sentence,og_sentence,kmeans_cluster,x,y
mình ở nam định,Mình ở nam định,13,-47.010513,-5.451766
mà hôm lọ em mình mua bên shop mình sao có 1190k,Mà hôm lọ e mình mua bên shop mình sao có 1190k,12,-11.773993,36.582928
có gì shop gửi cho mình cũng sớm càng tốt nha,Có j shop gửi cho mình càng sớm càng tốt nha,12,-24.203829,24.403584
mình đặt rồi,Mình đặt r,1,-24.189789,74.321884
mình ở cầu giấy hà nội,Mình ở cầu giấy Hn,4,-57.482998,14.792488
vậy để mình đặt,Vậy để mình đặt,1,1.838847,74.013916
tư vấn mình với,Tư vấn mình với,12,-28.51786,19.806105
mình lắp được rồi nha shop,Mình lắp đc r nha shop,1,-8.369834,71.177925
khoảng bao lâu mình nhận được hàng shop há,Khoảng bao lâu mình nhận đc hàng shop ha,6,-19.279453,0.344176
thanh 0938388607 93/26 tổ 34 khu phố 7 phường tân phong biên hòa đồng nai,"Trinh 0938388607
93/26 tổ 34 khu phố 7, phường Tân Phong, Biên Hòa, Đồng Nai",13,-58.436783,-28.551777
tech nhé,Tech nhé,3,-27.242905,-60.558041
tức 2 019 000đ phai không shop,Tc 2.019.000đ phai ko shop,3,-30.072481,-70.023705
vậy tính cả thước vào luôn nhé,Vậy tính cả thước vào luôn nhé,2,47.802616,16.474598
2 triệu chẵn đúng không shop,2tr chẵn đúng ko shop,14,9.325541,-25.408781
có ạ,Có ạ,9,54.843544,56.119751
vì đằng nào cũng mua 2 cái kia rồi mà,Vì đằng nào cũng mua 2 cái kia rồi mà,8,34.243134,13.029275
nếu không đươj thì chèn thêm gỗ,Nếu k đuowcj thì chèn thêm gỗ,3,-0.115214,-67.96566
1 thanh 12,1 thah 12,8,38.040062,-20.821251
thôi cứ cho mình lấy 1 thanh 36,Thôi cứ cho mình lấy 1 thanh 36,0,5.756162,15.320801
em đó là 1m68,Em đo là 1m68,8,11.617997,-13.329396
thế là nếu mua thêm thì chỉ mua nối được nữa thôi chứ không mua thêm được một thanh chắn nữa ạ,Thế là nếu mua thêm thì chỉ mua nối được nữa thôi chứ k mua thêm được một thanh chắm nữa ạ ?,2,31.987684,17.719664
để em gọi ạ,Để em gọi ạ,1,11.800292,68.570213
2h em về quê rồi ạ,2h em về quê rồi ạ,14,-5.901288,-36.66032
em đi về qua ạ,Em đi về qua ạ,1,12.010211,67.338051
cho em luôn nhé,Cho em luôn nhé,1,-18.391554,79.363899
0889991855,0889991855,11,70.215561,-38.884377
chuyển luôn giúp ea,Chuyển luôn giúp ea,14,-22.620886,-41.917557
40 hai bà trưng,40 hai bà trưng,10,-67.651466,-55.980255
cũng được,Cũng đc,1,-10.029252,59.847862
em làm được rồi ạ,Em làm đc rồi ạ,1,2.039746,65.935387
làm thế nào để đẩy cao lên ạ,Làm thế nào để đẩy cao lên ạ,2,52.663498,7.749357
nhưng cái phần tay để đẩy nó cứ bị chúc xuống đất không đẩy cao lên được,"Nhưng cái phần tay để đẩy nó cứ bị chúc xuống đất, k đẩy cao lên đc",3,4.988168,-56.142578
cái này phải không ạ,Cái này phải ko ạ,9,50.488781,48.664413
bạn oiw,b oiw,3,-16.887014,-88.198257
smai mấy giờ bạn,Smai mấy h b,14,6.824663,-33.41853
= =,=.=,5,92.738838,3.549623
thanh toán tiền mặt nhé,Thanh toán tiền mặt nhé,14,11.74218,-22.942085
hjx,Hjx,11,59.859901,-26.238691
shop có bán cả dòng cụ án dặm máy xay các thứ chứ,Shop có bán cả dụng cụ án dặm máy xay các thứ chứ,3,10.393399,-63.86095
để mình thử lại,Để mình thử lại,12,-28.820187,34.496952
thế ạ,Thế ah,2,68.548943,22.039146
nếu mua qua face,Nếu mua qua face,14,-6.214448,-45.172443
đây này shop,Đây này shop,2,40.50124,15.11173
chắc tkhoan của mình có vấn đề,Chắc tkhoan của mình có vấn đề,3,-3.187289,-49.301422
lại không bấm thanh toán được,Lại k bấm thanh toán đc,8,6.001381,-7.383085
mình muốn mua sản phẩm máy sấy khô tiệt trùng bình sữa ây,Mình muốn mua sản phẩm máy sấy khô tiệt trùng bình sữa ây,14,6.942933,-13.960413
ui cao vậy ạ bạn bán tới bao lâu lâu ạ,"Ui cao vậy ạ ., b bán tới bao lâu lâu ạ",8,21.447264,-11.380842
lúc sáng đo thì thấy 72,Lúc sáng đo thì thấy 72 ;(,3,-6.958043,-70.160812
để trưa tớ thử đo lại,Để trưa tớ thử đo lại,3,-9.492079,-57.946674
cửa nhà tớ vừa đo 72cm có vừa được bạn nhỉ,Cửa nhà tớ vừa đo 72cm có vừa đc bạn nhỉ,8,5.166289,-9.1294
cancel giup mình nhé,cancel giup m nhe,3,-20.198828,-57.493351
nguyễn thị hương giang 0836226263,nguyễn thị hương giang 0836226263,13,-54.649509,-28.226097
cho mình đặt ghế nhún đi,Cho m đặt ghế nhún đi,12,-34.009315,26.488291
lại len gia sao shop,Lai len gia sao shop,14,3.60021,-31.864477
chị lấy set này thôi không lấy quây nữa nhé,"Chị lấy set này thôi, ko lấy quây nữa nhé",0,15.921462,28.082903
gửi về tổ 1 khu 7 bãi cháy qn,"Gửi về Tổ 1, khu 7, Bãi Cháy, QN",3,-12.824317,-70.757698
chị chị quây 18* 2m nhé,C c quây 18* 2m nhé,14,-13.846951,-29.349422
mình đây bạn,Mình đây b,12,-17.761642,49.502197
bán liên hệ bên đó giúp mình nhé,Bạn liên hệ bên đó giúp mình nhé,6,-21.147808,9.153282
chỉ được cái thanh hơn,Chỉ đc cái nhanh hơn,2,31.330954,34.193874
mình đang nghĩ chở về nhà chắc cũng mất thêm phí,Mình đang nghĩ chở về nhà chắc cũng mất thêm phí,14,-1.855273,-20.473593
nếu được bạn gửi hoàng long giúp mình nhé,Nếu đc b gửi Hoàng Long giúp mình nhé,1,-5.47515,63.83773
vậy bạn báo người ta giao giúp mình được không,Vậy bạn báo ng ta giao giúp mình đc ko,12,-28.570539,52.725456
nhưng về tận nhà nhỉ,Nhg về tận nhà nhỉ,8,12.982249,-5.823022
tớ thanh toán qua aỉay lun rồi nhé,t thanh toán qua airpay lun r nhé,14,-5.535992,-46.22147
tớ trả aỉay cũng được,t trả airpay cũng đc,14,-5.185413,-25.60457
2 mã aỉay,2 mã airpay,10,-44.169155,-65.777794
1 mã tất cả hình thức,1 mã tất cả hình thức,3,10.978249,-71.179054
tớ còn 3 mã vận chuyển,t còn 3 mã vận chuyển,8,10.253515,-11.44859
tớ áp thấy nó báo không được,t áp thấy nó báo k đc,6,-14.550056,23.863678
huhu,huhu,5,88.690964,-7.82066
không áp được mã hỗ trợ vận chuyển nhỉ,k áp đc mã hỗ trợ vận chuyển nhỉ,3,-10.031631,-64.075851
tớ đặt luôn,t đặt lun,1,-18.911636,57.772667
link bên trên chị gửi tớ đúng không,link bên trên c gửi t đúng k,0,-4.590464,38.547787
tớ tớ,T.T,1,0.16978,70.495834
cho mình huỷ đơn bàn nhé,Cho mình huỷ đơn bàn nhé,12,-33.046127,21.088282
không là tớ không nhận đâu đấy,Ko là tớ ko nhận đâu đấy,0,4.632316,41.083916
uh,Uh,10,-39.161747,-53.114609
mình nhận hàng thanh toán mà,Mình nhận hàng thanh toán mà,12,-24.910717,48.717896
mình ở huyện,Mình ở huyện,4,-49.764011,7.013835
không,Ko,9,56.564682,67.278473
mình ở sơn la,Mình ở sơn la,13,-46.017963,-7.357908
cửa hàng em tên gì,cửa hàng em tên gì,6,2.974291,-8.115355
chị ctien nha,c ctien nha,14,-6.178438,-46.92033
0983674677 chị lâm,0983674677 chị Lâm,10,-38.242867,-64.150711
mẫu khủng long là mẫu nào em,mẫu khủng long là mẫu nào em,2,51.265629,9.454299
vì ghế tớ đang tặng bạn ạ,Vì ghế t mang tặng b ạ,0,22.520393,40.416508
sản 11 ngõ 32 ngách 21/2 phố viên trường đức thắng bắc từ liêm,"SN 11 ngõ 32 ngách 21/2 phố Viên, phường Đức Thắng, Bắc Từ Liêm",13,-53.456921,-25.688671
done,Done,5,86.937233,-9.896848
bên bạn làm giờ toàn hnahf chính,Bên bạn làm h toàn hnahf chính,7,7.936412,-35.388248
phải là 2m với m6 ạ,Phải là 2m vs m6 ah,8,29.544344,-19.116957
nhưng em nhầm kích cỡ,Nhưng e nhầm kích cỡ,7,35.732834,-50.368309
em nhận được thành chắn rồi,E nhận đc thanh chắn r,0,-8.353974,23.474222
tháng thảm được bằng ạ,Tháp thả đc bóng ạ,0,15.625304,17.671305
mình ở nhà nhé,Mình ở nhà nhé,4,-47.478134,12.998116
0983516894,0983516894,11,70.932404,-32.960564
giao hàng cho mình trước tết không,Giao hàng cho mình trươc Têt ko,12,-38.182281,38.752476
để ráp không shop,Dễ ráp ko shop,6,-12.432343,15.955251
hàng nguyên hộp như trên đúng không ạ,Hàng nguyên hộp như trên đúng k ạ?,8,21.808468,15.273318
0983308681,0983308681,11,62.048325,-40.895473
thế ạ,Thế ah,2,68.491402,22.119919
0976651526 hoàng,0976651526: hoàng,10,-56.939011,-45.646252
sản phẩm như này đúng không bạn,Sp như này đúng ko bạn,2,37.25967,41.319561
vậy xòn loại nào dùng ổn không ạ,Vậy xòn loại nào dùng ổn ko ah,7,37.279217,-42.51442
vi dụ chẳng hạn bộ là 3 cái như vậy mình rút gọn khoảng 2 cái được không ạ,Vi dụ chẳng hạn bộ la 3 cái như vậy minh rút gọn khoảng 2 cái dc ko ạ,7,27.675545,-33.877205
vi thật sự nhà mình chật quá,Vi thật sự nhà minh chật quá,3,-17.016874,-66.196014
với lại muốn mua nhỏ hơn được không ạ,Với lại muốn mua nhỏ hơn dc ko ạ,0,18.382418,48.724838
là đầy đủ luôn hả shop,Là đây đủ luôn hả shop,8,23.415323,-9.494443
cái quây mình hỏi size bé nhất nha vì nhà mình chật,Cái quây mình hỏi size bé nhất nha. Vi nhà minh chật,0,1.28444,16.524614
shop xác nhận giùm tớ,Shop xác nhận giùm t,14,-15.229124,-39.529484
tầm mấy ngày tớ nhận được hàng ạ,Tầm mấy ngày t nhận đc hàng ạ,12,-29.898758,50.753002
mình có gửi ảnh mà,mih có gưi ảnh mà,1,0.567422,72.846992
cho em coi mình với,Cho e coi hình vs,12,-36.350361,27.141266
vậy còn mẫu nào vậy chị,Vậy còn mẫu nào vậy c,2,59.045254,25.578678
151a/3 khu phố 8 phường tân biên -biên hoà đồng nai,151a/3 khu phố 8 phường tân biên -biên hoà đồng nai,13,-59.2654,-25.766333
theo miếng nằm ra vệ sinh coa dễ không chị,tháo miếng nằm ra vệ sinh coa dễ k c,3,-10.494717,-72.369812
em muốn hỏi quây nhựa cho bé,Em muốn hỏi quây nhựa cho bé,0,4.367659,52.815041
cho 1 hộp này nữa nhé,Cho 1 hộp này nữa nhé,9,33.626274,55.011986
shop tư vấn giúp,Shop tư vấn giúp,6,-25.622663,2.694184
chị đang muốn sắm đồ cho bé sơ sinh,C đang muốn sắm đồ cho bé sơ sinh,14,-16.264715,-20.061029
2 cái này không thấy trong tiki,2 cái này ko thấy trong tiki 😭,9,32.064758,43.073986
saigon em,Saigon e,3,-19.942081,-60.301437
chị không lấy ghế,C ko lấy ghế,9,12.551703,58.845482
à thế ạ,À thế ạ,2,64.228233,21.561939
trước bên mình có mẫu này nữa mà em,trước bên mình có mẫu này nữa mà em,9,36.575188,61.8339
chị ở nguyễn tuân em ạ,chị ở nguyễn tuân em ạ,4,-46.377167,1.835468
trong hôm nay hoặc mai,trong hôm nay hoặc mai,12,-38.252872,48.009518
tổng 12 tấm,tổng 12 tấm,10,-61.52586,-61.333889
chị muốn mua quây vuông góc thế này nhg 1 cánh 2 tấm 1 cánh 4 tấm,"chị muốn mua quây vuông góc thế này, nhg 1 cạnh 2 tấm 1 cạnh 4 tấm",3,12.003674,-71.905914
bé nhà mình ngồi vững rồi,Bé nhà mình ngồi vững rồi,6,-10.206507,11.709338
mai mình qua shop nhé,Mai mình qua shop nhé,1,-6.963194,68.228989
ngày gần shop,Ngay gần shop,8,7.711303,-5.803356
hx,Hx,5,82.544075,-17.856224
xanh navy nhe,Xanh navi nhe,10,-61.61504,-62.276066
083 4796686,083 4796686,5,81.211945,-16.312218
tôn đức thắng bạn à,Tôn đức thắng b ak,7,14.222559,-54.809288
để em order qua đấy,để e order qua đấy,6,-15.671362,-4.023404
cho em tên shop với ạ,cho e tên shop với ạ,0,10.068838,48.35651
cái thảm đàm í ạ,cái thảm đàm í ạ,7,25.797449,-42.679451
miình giao cho mình,Miễn giao cho mình,6,-32.828102,7.707139
không kịp thì sáng mai cũng được,K kịp thì sáng mai cũng đc,6,-16.017237,19.942623
đến 5h bạn nhé,Đến 5h bạn nhé,6,-15.607883,10.391957
0988365556,0988365556,11,73.878807,-43.150394
cho dễ tìm,Cho dễ tìm,14,-19.008272,-43.820145
thế giao giúp mình ra được 483 tam trinh nhé,Thế giao giúp mình ra đc 483 Tam Trinh nhé,6,-22.026606,-9.757998
bạn đã đi giao chưa,Bạn đã đi giao chưa,12,-29.295475,52.972919
thế t2 bạn nhé,Thế t2 bạn nhé,8,31.177681,-11.538174
mai nhà mình có việc đi cả ngày rồi,Mai nhà mình có việc đi cả ngày rồi,0,-5.731784,27.747297
hôm nay không giao được hả bạn,hnay k giao đc hả bạn,12,-40.82283,60.522251
0988365556,0988365556,11,73.881088,-43.149975
mình lấu m6m8 ạ,M lấu m6m8 ạ,3,-22.670656,-63.366413
0904700785 số 10 ngõ 2 nguyên hồng,0904700785 số 10 ngõ 2 Nguyên Hồng,13,-53.764198,-9.673681
bên mình không mua được thảm bóng ngoài ạ,Bên m ko mua đc thêm bóng ngoài ạ?,0,13.3304,48.182468
nếu hâm mà chưa cho bé uống thì để bao lâu là được,"Nếu hâm mà chưa cho bé uống thì để bao
Lâu là đc",0,-3.961644,33.500156
cái đấy mình chế cháo được,Cái đấy mình chế cháo được,14,-16.154724,-41.901581
mình nghĩ là không cần đâu,Mình nghĩ là không cần đâu,0,0.363223,23.173195
cái đó để gá vào cầu thang hả bạn,Cái đó để gá vào cầu thang hả bạn,8,35.042416,5.772453
2 chỗ mình cần cửa,2 chỗ mình cần cửa,0,12.963062,36.933689
đây bạn nhé,Đây bạn nhé,12,-12.793941,34.468021
shop tư vấn giúp mình nhé,shop tư vấn giúp mình nhé ;),12,-37.773323,32.709339
mình cần mua 2 bộ,mình cần mua 2 bộ,9,32.515327,70.177971
shop nhà mình ở đâu bạn nhỉ,Shop nhà mình ở đâu bạn nhỉ,4,-43.882435,9.387081
27 cổ linh long biên ấy ạ,"27 cổ linh, long biên ấy ạ",13,-49.091244,-23.893114
mình bên aeon long biên,Mình bên Aeon Long Biên,13,-43.190853,-6.158929
giúp mình được không ạ,Giúp mình đc ko ạ?,1,-8.312228,77.627403
loại này ấy ạ,Loại này ấy ạ,2,42.956188,23.730173
mình hỏi về ghế nôi ô tô cho bé,Mình hỏi về ghế nôi o tô cho bé,6,-2.015971,3.892096
không phải hồ chí minh hả,K phải hcm hả,4,-60.972179,0.307295
ủa shop ở đâu lận,Ủa shop ở đâu lận,13,-42.278229,-33.402534
nguyễn văn minh,Nguyễn văn linh,4,-60.769913,2.087849
ở q8,Ở q8,13,-59.249245,-38.013096
là mua quây này có tặng những gì vậy,Là mua quây này có tặng những gì vậy,2,41.179291,23.07542
0979650689,0979650689,11,62.112488,-44.305683
em muốn lấy cái địu 690k ý ạ,E muốn lấy cái địu 690k ý ạ,14,7.455481,-16.761673
với bé ngồi được đến mấy tuổi ạ,Với bé ngồi đc đến mấy tuổi ạ,0,15.852431,38.003872
cái này của nước nào sản xuất à bạn,Cái này của nước nào sx à b,2,42.806145,21.77022
không em giao về số 2 ngõ 25 trần hữu tước,ko e giao về số 2 ngõ 25 trần hữu tước,6,-6.095055,18.496401
có những kích thước nào hả bạn,có những kích thước nào hả bạn,5,69.886658,6.477533
không trước thứ 6 kịp hả em,Ko trước thứ 6 kịp hả e,14,5.754673,-30.63936
chung cư petroland duong nguyen duy trinh phuong binh trung long q2,"Chung cu petroland , duong nguyen duy trinh, phuong binh trung dong ,q2",10,-55.809612,-48.91544
0947715716,0947715716,11,72.638885,-36.622112
01 lạc long quân lô thanh thành liên nghĩa đức trọng lâm đồng,01 lạc long quân lô Thanh Thanh Liên Nghĩa đức trọng Lâm đồng,13,-57.890331,-28.825769
nhé,nhé,1,-21.745247,78.313744
nôi này là bật rung thì nó chỉ ì ì hay cả cái nôi nó rung tự động hả bạn,Nôi này là bật rung thì nó chỉ ì ì hay cả cái nôi nó rung tự động hả b,7,23.054104,-51.349701
có bạn,Có bạn,9,54.462509,57.948769
mình không thấy rung bạn ạ,M ko thấy rung b ạ,0,8.269009,44.576286
cái chức năng rung tự động của nôi,Cái chức năng rung tự động của nôi,3,-17.644226,-78.016617
mình hỏi chút,M hỏi chút,6,-34.28619,15.66965
cả màn,Cà màn,3,4.364222,-78.509689
nôi này bạn nhé,Nôi này b nhé,0,16.935452,25.828983
nay mình bận quá không nhận được,Nay m bận quá ko nhắn đc,12,-33.269115,47.660065
mình xin kích thước ạ,M xin kích thước ạ,5,70.464973,-4.437245
cho em link sản phẩm này nha shop,Cho e link sp nay nha sh,0,11.81811,34.643745
0904779856,0904779856,11,60.500271,-39.140053
được 37/409 kim mã,Đc 37/409 kim mã,10,-32.632427,-66.531494
vậy mình đặt thanh 1m8 và 2m shop nhé,Vậy mình đặt thanh 1m8 và 2m shop nhé,0,10.055966,23.024603
thế này được không bạn,Thế này dc ko bạn?,2,52.266537,35.771976
ừm chờ tí,Ừm chờ tí,10,-77.79908,-49.508404
9 phân ạ,9 phân ạ,3,-4.153231,-77.535278
đúng rui ạ,Đúng rui ah,7,17.039265,-49.483948
thế không mua trực tiếp được mà phải đặt ạ bạn,Thế ko mua trực tiếp đc mà phải đặt ah bạn,0,19.937868,21.073355
bộ gồm 2 ghế đang không ạ,Bộ gồm 2 ghế đúng k ạ,2,31.750628,32.50238
gối nằm,Gối nằm,10,-73.092438,-53.976082
cho mình thêm hình nha shop,cho mình thêm hình nha shop,1,1.64606,58.777931
mình bảo bạn huỷ đơn rồi mà,Mình bảo bạn huỷ đơn rồi mà,12,-14.873812,28.194649
mình đang cần gấp,Mình đang cần gấp,12,-11.458385,42.489853
giao luôn giúp mình,Giao luôn giúp mìnhm,1,-30.553204,70.715347
0981110995,0981110995,11,69.758949,-26.943039
bạn giao chưa,Bạn giao chưa,12,-28.58687,55.073414
các bạn gửi hàng cho họ chưa,Các bạn gửi hàng cho họ chưa,12,-32.500973,31.926666
còn mỗi 3 loại này thôi à,Còn mỗi 3 loaii này thôi à,2,44.199406,9.556482
phù hợp cho bé từ 18m,Phù hợp cho bé từ 18m,3,-11.534135,-55.860722
đi kèm máy gồm những món gì ạ,Đi kèm máy gồm những món gì ạ,8,27.975573,-19.444304
tầm mấy hôm có hàng vậy,Tầm mấy hôm có hàng vậy,1,-10.058725,56.439522
ý em là giờ sửa thì sửa được không ạ,Ý e là giờ sửa thì sửa đc k ạ,0,16.790714,17.915178
với lại em hỏi chút ạ,Với lại e hỏi chút ạ,0,14.161066,28.06385
đầy đủ phụ kiện ạ,Đầy đủ phụ kiện ạ,3,-21.919178,-80.957237
đây ạ,Đây ạ,8,50.503143,-8.772964
số 25 hàng khay hoàn kiếm ch vân 0974475991,"Số 25 hàng khay, hoàn kiếm
Ch Vân
0974475991",10,-49.409504,-61.297886
lúc nào cũng có người,Lúc nào cũng có ng,2,52.967777,17.98032
đấy là nhà ch em ạ,Đấy là nhà ch em ạ,0,23.942425,37.821663
đây ạ,Đây ạ,8,50.405365,-7.881732
số 25 hàng khay hoàn kiếm ch vân 0974475991,"Số 25 hàng khay, hoàn kiếm
Ch Vân
0974475991",10,-49.409454,-61.297901
thế lấy mamago nha,thế lấy mamago nha,7,27.679913,-46.722687
đúng không bạn,đúng k b,9,20.877035,62.366173
tớ thấy 2 cái này cũng hãng,t thấy 2 cái này cùng hãng,9,33.812794,42.967731
bạn nhé,b nhé,1,-1.790479,74.412727
vì thấy 17h30 bên bạn nghỉ rồi,vì thấy 17h30 bên bạn nghỉ rồi,14,-3.215652,-13.318356
1 650k,1.650k,3,-4.336138,-86.609276
số 29 ngõ 45 vũ đức thận việt hưng long biên hoặc 105a lý sơn ngọc thụy long biên,"số 29 ngõ 45 Vũ Đức Thận, Việt Hưng, Long Biên hoặc 105A Lý Sơn, Ngọc Thụy, Long Biên",13,-53.861149,-27.687252
hàng này là nhập khẩu từ anh ạ,hàng này là nhập khẩu từ Anh ah ?,8,21.689556,-14.198887
hàng nước nào bạn,hàng nc nào b,2,49.034805,34.483532
chính hãng không ạ,chính hãng k ạ,8,22.873997,14.269955
cho mình link với,Cho mình link với,1,1.439332,56.086777
mình ở thành oai hà nội,m ở thanh oai hà nội,4,-58.598961,15.723296
cả tiền hàng,Cả tiền hàng,0,1.977773,44.068512
tổng đi bạn,Tổng đi bạn,0,0.909002,25.045521
thành phố hồ chí minh,Tphcm,4,-65.112679,2.964688
thứ hai em bọc rồi em gửi ra cho shop ạ,Thứ hai e bọc rồi e gửi ra cho shop ạ,12,-12.719636,30.66189
chứ em có nói là lỗi bên shop đâu ạ,Chứ e có nói là lỗi bên shop đâu ạ,8,27.493563,16.43222
tức là đổi lấy cái thanh mới ạ,Tức là đổi lấy cái thanh mới ạ,8,35.584602,4.664824
như vậy được chưa shop,Như vậy đc chưa shop,2,51.234272,35.118069
được shop ạ,Đc shop ạ,1,7.525055,71.296852
đây là 2 bên,Đây là 2 bên,2,32.400566,32.956417
đây shop,Đây shop,8,15.35033,8.670772
đợi mình chút,Đợi m chút,3,-19.977922,-57.856979
thì mua như nào shop nhỉ,Thì mua như nào shop nhỉ?,2,62.485912,29.217791
cộng 1 3m,Rộng 1.3m,10,-59.93605,-69.172485
nhà mình 1 bên là tương 1 bên cầu thanh gỗ,Nhà mình 1 bên là tường; 1 bên cầu thang gỗ,2,29.735802,29.985559
0904276083,0904276083,11,75.443893,-35.595119
nha,Nha,0,-6.88404,44.840622
loại sấy khô và không sấy khô,Loại sấy khô và ko sấy khô,7,17.656889,-59.208084
bạn có loại nào,Bạn có loại nào,2,63.657375,29.173941
đây là dòng 2018 à shop,Đây là dòng 2018 à shop?,7,20.944874,-50.887791
mình vẫn chưa nhận được hàng,m vẫn chưa nhận dc hang ?,12,-29.986712,60.494831
mình chưa nhận được,minh chưa nhận dc,1,-32.756855,68.396492
bạn oie bạn gửi hàng chưa vậy,b oie b gửi hàng chưa v,6,-18.733866,15.774764
bạn gửi hàng mình luôn nhen,b gui hàng m luon nhed,6,-28.759787,8.597418
tiếng anh hay tàu,tiếng anh hay tàu,3,-4.704548,-78.437965
à mà này đâu phải đồ trung quốc đang kg,à mà này đâu phải đồ trung quốc đúng kg ?,8,22.062983,-3.292596
cho mình thông tin nhé,cho m thong tin nhé,12,-35.859863,25.003414
71/3 nguyễn văn thương p25 bình thạnh hồ chí minh nha,71/3 nguyễn văn thương p25 bình thạnh hcm nha,13,-61.258919,-21.657017
máy baby moov xay với hâm tiệt trùng,máy baby moov xay với hâm tiệt trùng,3,-16.636002,-74.135124
chị cho em hỏi,c cho e hỏi,1,3.016212,89.353432
0949820060,0949820060,11,65.331825,-40.515503
shop gửi em 2/11 lê thị hồng p17 gò vâp thành phố hồ chí minh,Shop gửi e 2/11 Lê thị hồng p17 gò vâp tphcm,13,-61.218388,-8.948642
đau,Đau,5,91.571907,10.198795
bao tiền vậy abnj,Bao tiền vậy abnj,7,10.660145,-50.271564
bộ coa nhạc không shop,Bô coa nhạc k shop,7,12.218807,-45.351421
huhu,Huhu,5,88.690964,-7.82066
kích thước đon hàng của mình khui nào giao tới vậy bạn,Kt đon hàng của mình khi nào giao tới vậy b,5,62.873837,1.122264
lô 4a chung cư skygảen 2 đường phạm văn nghị phường tân phong quận 7,"Lô 4A, chung cư skygarden 2, đường phạm văn nghị, phường Tân phong, quận 7",13,-51.181602,-25.802135
0934185032,0934185032,11,65.301125,-31.188847
lên tiki đợi lâu lắm,Lên tiki đợi lâu lắm,3,-8.456281,-72.816788
uh vậy mình đặt qua bạn luôn cho tiện,"Uhm, vậy mình đặt qua b luôn cho tiện",12,-28.091072,25.268145
về mình chạy thử có vấn đề gì mình báo nha,Về m chạy thử có vấn đề gì m báo nha,14,-10.526073,-15.579822
34d ngách 34/218 ngõ 218 lạc long quân 070 638 6666 bạn ạ,"34d ngách 34/218 ngõ 218 lạc long quân
070 638 6666 b ạ",10,-53.001118,-44.503651
mình không qua được,M k qua đc,1,-8.632212,78.100418
mình qua lấy được không,M qua lấy đc k,1,-10.142689,75.010391
đúng rồi bạn ạ,Đúng r b ạ,9,20.479956,60.2136
bên bạn có mẫu nào,Ben ban co mẫu nào,2,61.675533,30.45866
thôi để mai mình qua mua trực tiếp vậy,Thôi để mai M qua mua trực tiếp vậy,6,-7.080112,13.616156
mà gửi viettel lâu lắm,Mà gửi viettel lâu lắm,14,-5.164822,-37.677357
được 249 đường ngọc hồi thanh trì hà nội,Đc 249 đường Ngọc hồi thanh trì HN,13,-71.943817,-11.15253
hoặc clip,Hoặc clip,10,-64.710594,-61.167892
cho mình xin cái ảnh thật được không,Cho m xin cái ảnh thật đc k,12,-19.802994,38.055851
ghế nặng không bạn,Ghế nặng k b,8,18.667824,10.412287
bạn nhắn mình không tin nhé,b nhắn mình thông tin nhé,12,-24.595879,45.29018
bạn,bạn,9,52.005634,61.098389
mình mua cái 1 8x2 mà giờ cho đệm vào không vửa nhỉ,"Mình mua cái 1,8x2 mà giờ cho đệm vào ko vửa nhỉ",6,-3.822089,8.620253
alô,Alô,5,84.725929,-13.906183
mình ở hồ chí minh ạ,Mình ở hcm ạ,4,-61.837631,0.949736
à mình thấy là có tặng kèm luôn thêm và bóng rồi hả bạn,À mình thấy là có tặng kèm luôn thảm và bóng rồi ha bạn,9,30.770622,42.681038
với cũi có bao gồm thảm xốp chưa ạ,Với cũi có bao gồm thảm xốp chưa ạ?,8,25.507067,-8.933337
sau này mình ghép chung với cũi được không bạn,Sau này mình ghép chung với cũi dc ko bạn?,0,10.997452,19.212431
mình lấy hồng cam,Minh lấy hồng cam,14,-17.831533,-20.406517
bộ hơn 4 triệu y,Bộ hơn 4tr y,7,21.718174,-39.92186
thôi cho mình lấy bôh kia vậy,Thôi cho mình lấy bôh kia vây,14,-20.014071,-13.287682
số nhà 7a4 ngõ 376/39 thuỵ khuê hà nội,Số nhà 7a4 ngõ 376/39 thuỵ khuê hà nôi,13,-72.74041,-10.799873
0975555773,0975555773,11,63.019958,-29.609447
vợ mình đặt về 7a4 ngõ 378/39 thuỵ khuê đấy ạ,Vk mình đặt về 7A4. Ngõ 378/39 Thuỵ Khuê đấy ạ,3,-3.067426,-57.862377
khoảng mấy giờ ạ,Khoảng mấy h ạ,0,7.959535,31.437008
19034987361010,19034987361010,11,63.343143,-28.077997
0986811025,0986811025,11,65.695007,-28.691998
bạn giao tối,B giao tối,6,-16.672556,23.075142
mai trong giờ hành chính mình đi làm,Mai trong h hành chính m đi làm,6,-12.130663,22.287985
lớn đơn cho mình nhé,Lên đơn cho m nhé,12,-36.121941,26.238358
14 ngách 12 ngõ 2 dòng ngạc,14 ngách 12 ngõ 2 đông ngạc,13,-50.034134,-26.440229
đúng ngạc bạn nhé,Đông ngạc b nhé,14,-8.217634,-30.786737
cả khoảng dài như thế nào đấy shop ạ,Cả khoảng dài ntn đấy shop ạ,2,58.248489,13.507384
bên chuyển phát mới nhận được hàng thôi nhỉ,Bên chuyển phát mới nhận đc hàng thôi nhỉ ?,6,-15.562999,23.485111
như thế nào là chưa đi đúng không bạn,Ntn là chưa đi đúng k bạn ?,2,58.325123,30.715553
đúng rồi bạn ạ,Đúng r bạn ạ,9,20.479929,60.214676
